date,matches
2026-06-11,2
2026-06-12,2
2026-06-13,4
2026-06-14,4
2026-06-15,4
2026-06-16,4
2026-06-17,4
2026-06-18,4
2026-06-19,4
2026-06-20,4
2026-06-21,4
2026-06-22,4
2026-06-23,4
2026-06-24,6
2026-06-25,6
2026-06-26,6
2026-06-27,6
2026-06-28,2
2026-06-29,3
2026-06-30,3
2026-07-01,3
2026-07-02,3
2026-07-03,3
2026-07-04,2
2026-07-05,2
2026-07-06,2
2026-07-07,2
2026-07-08,0
2026-07-09,1
2026-07-10,1
2026-07-11,2
2026-07-12,0
2026-07-13,0
2026-07-14,1
2026-07-15,1
2026-07-16,0
2026-07-17,0
2026-07-18,1
2026-07-19,1
